name,handedness,height,weight,avg,HR,cat
Ed Spiezio,R,71,180,0.23800000000000002,39,['excellent']
Rico Petrocelli,R,72,175,0.251,210,['excellent']
Johnny Lewis,L,73,189,0.22699999999999998,22,['average']
Dick Simpson,R,76,176,0.207,15,['average']
Ken Boswell,L,72,170,0.248,31,['excellent']
Ken McMullen,R,75,190,0.248,156,['excellent']
Randy Scarbery,B,73,185,0.0,0,['poor']
Steve Swisher,R,74,205,0.21600000000000003,20,['average']
Ben Callahan,R,79,230,0.0,0,['poor']
Dick Howser,R,68,155,0.248,16,['excellent']
Manny Castillo,B,69,160,0.242,3,['good']
Mike Ramsey,B,73,170,0.24,2,['good']
Willie Crawford,L,73,197,0.268,86,['excellent']
Bobby Cuellar,R,71,188,0.0,0,['poor']
Willie Norwood,R,72,185,0.242,18,['excellent']
Mike Jones,L,78,215,0.0,0,['poor']
Jeff Stone,L,72,175,0.27699999999999997,11,['good']
Ramon Manon,R,72,150,0.0,0,['poor']
Joe Lahoud,L,73,198,0.223,65,['average']
Tim Flannery,L,71,175,0.255,9,['good']
Dave McKay,B,73,195,0.22899999999999998,21,['average']
John Trautwein,R,75,205,0.0,0,['poor']
Andy Replogle,R,77,205,0.0,0,['poor']
Zach Crouch,L,75,180,0.0,0,['poor']
Benny Ayala,R,73,185,0.251,38,['excellent']
Ron Romanick,R,76,195,0.0,0,['poor']
Greg Gross,L,70,160,0.287,7,['good']
Bruce Tanner,L,75,220,0.0,0,['poor']
Sal Butera,R,72,190,0.22699999999999998,8,['poor']
Jack Brohamer,L,70,165,0.245,30,['excellent']
Von Joshua,L,70,170,0.273,30,['excellent']
Eddie Milner,L,71,173,0.253,42,['excellent']
Johnny Jeter,R,73,180,0.244,18,['excellent']
Angel Salazar,R,72,180,0.212,2,['poor']
Tony Oliva,L,73,175,0.304,220,['excellent']
Cito Gaston,R,75,190,0.256,91,['excellent']
Cookie Rojas,R,70,160,0.263,54,['excellent']
Rich Morales,R,71,170,0.195,6,['poor']
Dave Ford,R,76,190,0.0,0,['poor']
Dan Ford,R,73,185,0.27,121,['excellent']
Barry Raziano,B,70,175,0.0,0,['poor']
Darryl Motley,R,69,196,0.243,44,['excellent']
Ozzie Virgil,R,73,180,0.243,98,['excellent']
Johnny Oates,L,71,188,0.25,14,['good']
Pat Underwood,L,72,175,0.0,0,['poor']
Mike Phillips,L,72,170,0.24,11,['good']
Ron Santo,R,72,190,0.27699999999999997,342,['excellent']
Jay Johnstone,L,73,175,0.267,102,['excellent']
Jim Ray Hart,R,71,185,0.278,170,['excellent']
Marc Hill,R,75,205,0.223,34,['average']
Joel McKeon,L,72,185,0.0,0,['poor']
Danny Fife,R,75,175,0.0,0,['poor']
Chico Salmon,R,70,160,0.249,31,['excellent']
Joe Niekro,R,73,185,0.156,1,['poor']
Andy Etchebarren,R,73,190,0.235,49,['average']
Ken Berry,R,72,175,0.255,58,['excellent']
Dave Concepcion,R,74,155,0.267,101,['excellent']
Junior Moore,R,71,185,0.264,7,['good']
Mike Richardt,R,72,170,0.226,4,['poor']
Chris Brown,R,72,185,0.26899999999999996,38,['excellent']
Al Bumbry,L,68,170,0.281,54,['excellent']
Al Downing,R,71,175,0.127,2,['poor']
Bob Didier,B,72,190,0.22899999999999998,0,['poor']
Jake Gibbs,L,72,180,0.233,25,['average']
Garry Hancock,L,72,175,0.247,12,['good']
Ed Kranepool,L,75,205,0.261,118,['excellent']
Rick Rhoden,R,75,195,0.23800000000000002,9,['good']
Denny McLain,R,73,185,0.133,1,['poor']
Chuck Hiller,L,71,170,0.243,20,['excellent']
Jorge Orta,L,70,170,0.278,130,['excellent']
Dave Cash,R,71,170,0.28300000000000003,21,['excellent']
Bucky Dent,R,69,170,0.247,40,['excellent']
Andy Beene,R,75,205,0.0,0,['poor']
Bruce Robbins,L,73,190,0.0,0,['poor']
Tony Gonzalez,L,69,170,0.28600000000000003,103,['excellent']
Leon Hooten,R,71,180,0.0,0,['poor']
Larry Haney,R,74,195,0.215,12,['poor']
Billy Conigliaro,R,72,180,0.256,40,['excellent']
Gary Roenicke,R,75,205,0.247,121,['excellent']
Don Lock,R,74,195,0.23800000000000002,122,['excellent']
Billy Cowan,R,72,170,0.23600000000000002,40,['average']
Billy Smith,B,74,185,0.23,17,['average']
Allan Ramirez,R,70,180,0.0,0,['poor']
Tony Perez,R,74,175,0.27899999999999997,379,['excellent']
Chuck Schilling,R,70,160,0.239,23,['excellent']
Hal McRae,R,71,180,0.29,191,['excellent']
Dave Roberts,R,75,215,0.239,49,['excellent']
Brian Allard,R,73,175,0.0,0,['poor']
Jim Lefebvre,B,72,180,0.251,74,['excellent']
Fernando Arroyo,R,74,180,0.0,0,['poor']
Gary Beare,R,76,205,0.0,0,['poor']
Charlie Spikes,R,75,215,0.24600000000000002,65,['excellent']
Brian Dubois,L,70,165,0.0,0,['poor']
Steve Whitaker,L,72,180,0.23,24,['average']
Manny Jimenez,L,73,185,0.272,26,['excellent']
Chris Batton,R,76,195,0.0,0,['poor']
Duffy Dyer,R,72,187,0.221,30,['average']
Ken Henderson,B,74,180,0.257,122,['excellent']
Vance Lovelace,L,77,205,0.0,0,['poor']
Greg Thayer,R,71,182,0.0,0,['poor']
Vern Fuller,R,73,170,0.23199999999999998,14,['poor']
Paul Hartzell,R,77,200,0.0,0,['poor']
Wayne Gross,L,74,210,0.233,121,['average']
Mike Champion,R,72,185,0.22899999999999998,2,['poor']
Ralph Botting,L,72,195,0.0,0,['poor']
Paul Casanova,R,76,180,0.225,50,['average']
Steve Rogers,R,74,175,0.138,0,['poor']
Keith Creel,R,74,180,0.0,0,['poor']
Terry Crowley,L,72,180,0.25,42,['excellent']
Horace Clarke,B,69,170,0.256,27,['excellent']
Lou Clinton,R,73,185,0.247,65,['excellent']
Larry Cox,R,70,178,0.221,12,['poor']
Nate Colbert,R,74,190,0.243,173,['excellent']
Phil Roof,R,74,190,0.215,43,['average']
Chuck Hinton,R,73,180,0.264,113,['excellent']
Tim Cullen,R,73,185,0.22,9,['poor']
Tim Harkness,L,74,182,0.235,14,['poor']
Rick Bosetti,R,71,185,0.25,17,['excellent']
Ron Pruitt,R,72,185,0.26899999999999996,12,['good']
George Foster,R,73,180,0.27399999999999997,348,['excellent']
Jerry White,B,70,164,0.253,21,['excellent']
Angel Mangual,R,70,178,0.245,22,['excellent']
Ken Gerhart,R,72,190,0.221,24,['average']
Mike Hershberger,R,70,175,0.252,26,['excellent']
Jim French,L,68,180,0.196,5,['poor']
Dave Roberts,L,75,195,0.19399999999999998,7,['poor']
Jim Mason,L,74,185,0.203,12,['poor']
Mike Smith,R,75,180,0.0,0,['poor']
Willie Smith,L,72,182,0.248,46,['excellent']
T.R. Bryden,R,76,190,0.0,0,['poor']
Jose Arcia,R,75,170,0.215,1,['poor']
Leon Durham,L,73,185,0.27699999999999997,147,['excellent']
Tom Makowski,R,71,185,0.0,0,['poor']
Paul Householder,B,72,180,0.23600000000000002,29,['average']
Aurelio Rodriguez,R,70,180,0.237,124,['average']
Jimmy Stewart,B,72,165,0.237,8,['poor']
Dick Phillips,L,72,180,0.22899999999999998,12,['poor']
Andres Thomas,R,73,170,0.23399999999999999,42,['average']
Ed Crosby,L,74,175,0.22,0,['poor']
Mike de la Hoz,R,71,175,0.251,25,['excellent']
Frank Taveras,R,72,155,0.255,2,['good']
Joe Nossek,R,72,178,0.228,3,['poor']
Larry Stahl,L,72,175,0.23199999999999998,36,['average']
Jose Cruz,L,72,170,0.284,165,['excellent']
Don Mason,L,71,160,0.205,3,['poor']
Bill Robinson,R,74,189,0.258,166,['excellent']
Jim Umbarger,L,78,200,0.0,0,['poor']
Sal Bando,R,72,195,0.254,242,['excellent']
George Mitterwald,R,74,195,0.23600000000000002,76,['average']
Mike Darr,R,76,190,0.0,0,['poor']
Craig Robinson,R,70,165,0.21899999999999997,0,['poor']
Bob Tillman,R,76,205,0.23199999999999998,79,['average']
Curt Wardle,L,77,220,0.0,0,['poor']
Pat Corrales,R,72,180,0.21600000000000003,4,['poor']
Mike Tyson,R,69,170,0.24100000000000002,27,['excellent']
Rafael Landestoy,B,70,165,0.237,4,['poor']
Duane Josephson,R,72,190,0.258,23,['excellent']
Duane Walker,L,72,185,0.22899999999999998,24,['average']
Glenn Hubbard,R,69,150,0.244,70,['excellent']
