name,handedness,height,weight,avg,HR,cat
Ike Brookens,R,77,170,0.0,0,['poor']
Tommie Aaron,R,75,190,0.22899999999999998,13,['poor']
Steve Dillard,R,73,180,0.243,13,['good']
Win Remmerswaal,R,74,160,0.0,0,['poor']
Jeff Peterek,R,74,195,0.0,0,['poor']
George Scott,R,74,200,0.268,271,['excellent']
Jeff Shaver,R,75,195,0.0,0,['poor']
Ken Walters,R,73,180,0.231,11,['poor']
Gorman Thomas,R,74,210,0.225,268,['average']
Paul Dade,R,73,185,0.27,10,['good']
Darrell Porter,L,72,193,0.247,188,['excellent']
Tim Johnson,L,73,170,0.223,0,['poor']
Fred Stanley,R,70,165,0.21600000000000003,10,['poor']
Larry Bowa,B,70,155,0.26,15,['excellent']
Tim Corcoran,L,71,175,0.27,12,['good']
Jim Spencer,L,74,195,0.25,146,['excellent']
Pete LaCock,L,74,200,0.257,27,['excellent']
Carl Morton,R,72,200,0.156,7,['poor']
Gary Gray,R,72,187,0.24,24,['excellent']
Matty Alou,L,69,160,0.307,31,['excellent']
Pete Filson,B,74,195,0.0,0,['poor']
Jim Dwyer,L,70,165,0.26,77,['excellent']
Dalton Jones,L,73,180,0.235,41,['average']
Rennie Stennett,R,71,160,0.27399999999999997,41,['excellent']
Jim Gideon,R,75,190,0.0,0,['poor']
Jerry May,R,74,190,0.23399999999999999,15,['average']
Rich McKinney,R,71,185,0.225,20,['average']
Clint Hurdle,L,75,195,0.259,32,['excellent']
Mike Andrews,R,75,195,0.258,66,['excellent']
Bobby Clark,R,72,190,0.239,19,['excellent']
Jeff Twitty,L,74,185,0.0,0,['poor']
Cliff Johnson,R,76,215,0.258,196,['excellent']
Steve Cummings,B,74,200,0.0,0,['poor']
Donn Clendenon,R,76,209,0.27399999999999997,159,['excellent']
Charlie James,R,73,195,0.255,29,['excellent']
Bob Horner,R,73,195,0.27699999999999997,218,['excellent']
Tom Veryzer,R,73,175,0.24100000000000002,14,['good']
Jose Cecena,R,71,180,0.0,0,['poor']
George Smith,R,70,170,0.205,9,['poor']
Jim Essian,R,74,195,0.244,33,['excellent']
Onix Concepcion,R,66,160,0.239,3,['good']
Boots Day,L,69,160,0.256,8,['good']
Brian Giles,R,73,165,0.228,10,['poor']
Garry Maddox,R,75,175,0.285,117,['excellent']
Alex Trevino,R,70,165,0.249,23,['excellent']
Jim Price,R,72,192,0.214,18,['average']
Felix Millan,R,71,172,0.27899999999999997,22,['excellent']
Steve Garvey,R,70,192,0.294,272,['excellent']
Don Mincher,L,75,205,0.249,200,['excellent']
Greg Erardi,R,73,190,0.0,0,['poor']
Jim Farr,R,73,195,0.0,0,['poor']
Tony Cloninger,R,72,210,0.192,11,['poor']
Jim Gosger,L,71,185,0.226,30,['average']
Chuck Harrison,R,70,185,0.23800000000000002,17,['excellent']
Mike Ivie,R,75,205,0.26899999999999996,81,['excellent']
Frank Dimichele,R,75,205,0.0,0,['poor']
Bob Veale,B,78,212,0.114,0,['poor']
Marvell Wynne,L,71,175,0.247,40,['excellent']
Dusty Baker,R,74,183,0.278,242,['excellent']
Tucker Ashford,R,73,195,0.218,6,['poor']
Ned Yost,R,73,190,0.212,16,['average']
Bob Stinson,B,71,180,0.25,33,['excellent']
Mike Warren,R,73,175,0.0,0,['poor']
Gaylord Perry,R,76,205,0.131,6,['poor']
Dave Marshall,L,73,182,0.24600000000000002,16,['excellent']
Mickey Hatcher,R,74,200,0.28,38,['excellent']
Roger Repoz,L,75,190,0.22399999999999998,82,['average']
Bill Fulton,R,75,195,0.0,0,['poor']
John Orsino,R,75,215,0.249,40,['excellent']
Larry Anderson,R,75,190,0.0,0,['poor']
Johnny Briggs,L,73,190,0.253,139,['excellent']
Craig Mitchell,R,75,180,0.0,0,['poor']
Dave Hostetler,R,76,215,0.22899999999999998,37,['average']
Bob Jones,L,74,195,0.221,20,['average']
Keith Hernandez,L,72,180,0.29600000000000004,162,['excellent']
Alfredo Martinez,R,75,185,0.0,0,['poor']
Dean Chance,R,75,200,0.066,0,['poor']
Willie Upshaw,L,72,185,0.262,123,['excellent']
Dick Green,R,70,180,0.24,80,['excellent']
Dane Iorg,L,72,180,0.276,14,['good']
Richie Hebner,L,73,195,0.276,203,['excellent']
Fran Healy,R,77,220,0.25,20,['excellent']
Doc Edwards,R,74,215,0.23800000000000002,15,['excellent']
Sandy Alomar,B,69,140,0.245,13,['good']
Joe Strain,R,70,169,0.25,1,['good']
Gene Richards,L,72,175,0.29,26,['excellent']
Buddy Bell,R,73,180,0.27899999999999997,201,['excellent']
Al Woods,L,75,190,0.271,35,['excellent']
Rudy Law,L,73,165,0.271,18,['excellent']
Joel Davis,L,77,205,0.0,0,['poor']
Jody Davis,R,76,192,0.245,127,['excellent']
Mike Edwards,R,70,154,0.25,2,['good']
Bill Mooneyham,R,72,175,0.0,0,['poor']
John Hobbs,R,75,190,0.0,0,['poor']
Deron Johnson,R,74,200,0.244,245,['excellent']
John Denny,R,75,185,0.17,0,['poor']
Don Wert,R,70,162,0.242,77,['excellent']
Mike Fiore,L,72,175,0.22699999999999998,13,['poor']
Miguel Dilone,B,72,160,0.265,6,['good']
Greg Luzinski,R,73,220,0.276,307,['excellent']
Bobby Tolan,L,71,170,0.265,86,['excellent']
Karl Best,R,76,190,0.0,0,['poor']
Steve Barr,L,76,200,0.0,0,['poor']
Ron Woods,R,70,168,0.233,26,['average']
Tony Horton,R,75,210,0.268,76,['excellent']
Randy Hundley,R,71,170,0.23600000000000002,82,['average']
Jose Tartabull,L,71,165,0.261,2,['good']
Ben Oglivie,L,74,160,0.273,235,['excellent']
Luis Sanchez,R,74,170,0.0,0,['poor']
Bob Johnson,R,70,175,0.272,44,['excellent']
Don Buford,B,67,160,0.264,93,['excellent']
Duane Kuiper,L,72,175,0.271,1,['good']
Brant Alyea,R,75,215,0.247,38,['excellent']
Jerry Narron,L,75,205,0.21100000000000002,21,['average']
Lou Johnson,R,71,170,0.258,48,['excellent']
Ken Retzer,L,72,185,0.264,14,['good']
Mike Brown,R,74,195,0.265,23,['excellent']
Mike Brown,R,74,195,0.0,0,['poor']
Greg Walker,L,75,205,0.26,113,['excellent']
Terry Harper,R,76,195,0.253,36,['excellent']
Jerry Royster,R,72,165,0.249,40,['excellent']
Steve Davis,L,73,195,0.0,0,['poor']
Jeff Rineer,L,76,205,0.0,0,['poor']
Barry Bonnell,R,75,190,0.272,56,['excellent']
Tom Seaver,R,73,195,0.154,12,['poor']
Jerry Martin,R,73,195,0.251,85,['excellent']
Bill Stein,R,70,170,0.267,44,['excellent']
Joel Youngblood,R,72,180,0.265,80,['excellent']
Reggie Jackson,L,72,195,0.262,563,['excellent']
Sonny Jackson,L,69,150,0.251,7,['good']
Mark Mercer,L,77,220,0.0,0,['poor']
Rodney Scott,B,72,160,0.23600000000000002,3,['poor']
Rich Coggins,L,68,170,0.265,12,['good']
Phil Gagliano,R,73,180,0.23800000000000002,14,['good']
Jerry McNertney,R,72,180,0.237,27,['average']
Mitchell Page,L,74,205,0.266,72,['excellent']
Kiko Garcia,R,71,180,0.239,12,['good']
Larry Milbourne,B,72,161,0.254,11,['good']
Bill Sudakis,B,73,190,0.23399999999999999,59,['average']
John Caneira,R,75,180,0.0,0,['poor']
Domingo Ramos,R,70,154,0.24,8,['good']
Ron Oester,B,74,185,0.265,42,['excellent']
Glenn Adams,L,73,180,0.28,34,['excellent']
Clint Zavaras,R,73,175,0.0,0,['poor']
Joe Morgan,L,67,160,0.271,268,['excellent']
R.J. Reynolds,B,72,190,0.267,35,['excellent']
Mike Parrott,R,76,210,0.0,0,['poor']
Lee Thomas,L,74,195,0.255,106,['excellent']
Ray Fosse,R,74,215,0.256,61,['excellent']
Paul Popovich,B,72,175,0.233,14,['poor']
John Stephenson,L,71,180,0.21600000000000003,12,['poor']
Doug Clemens,L,72,180,0.22899999999999998,12,['poor']
Luis Aponte,R,72,185,0.0,0,['poor']
Orlando Mercado,R,72,180,0.19899999999999998,7,['poor']
Charley Smith,R,73,170,0.239,69,['excellent']
Paul Boris,R,74,200,0.0,0,['poor']
Buddy Biancalana,B,71,160,0.205,6,['poor']
De Wayne Buice,R,72,170,0.0,0,['poor']
Bob Uecker,R,73,190,0.2,14,['poor']
Felix Torres,R,71,165,0.254,27,['excellent']
Steve Braun,L,70,180,0.271,52,['excellent']
Ray Knight,R,73,185,0.271,84,['excellent']
Ty Cline,L,72,170,0.23800000000000002,6,['good']
Thad Bosley,L,75,175,0.272,20,['excellent']
Bobby Grich,R,74,180,0.266,224,['excellent']
Jimmie Hall,L,72,175,0.254,121,['excellent']
John Boccabella,R,73,195,0.21899999999999997,26,['average']
Brock Davis,L,70,160,0.26,1,['good']
Mark Esser,R,73,190,0.0,0,['poor']
Curt Blefary,L,74,195,0.237,112,['average']
Daryl Smith,R,76,185,0.0,0,['poor']
Dave Smith,R,73,190,0.0,0,['poor']
Mack Jones,L,73,180,0.252,133,['excellent']
Buddy Bradford,R,71,170,0.226,52,['average']
Hosken Powell,L,73,175,0.259,17,['excellent']
Dave Stapleton,L,73,185,0.0,0,['poor']
Dave Stapleton,R,73,178,0.271,41,['excellent']
Gary Ward,R,74,195,0.276,130,['excellent']
Jim Lonborg,R,77,200,0.136,3,['poor']
Joe Lis,R,72,175,0.233,32,['average']
Dan Meyer,L,71,180,0.253,86,['excellent']
Jim Holt,L,72,180,0.265,19,['excellent']
Tom Klawitter,R,74,190,0.0,0,['poor']
Larry Herndon,R,75,190,0.27399999999999997,107,['excellent']
Gary Christenson,L,77,200,0.0,0,['poor']
Jim Wright,R,77,205,0.0,0,['poor']
Jim Wright,R,73,165,0.0,0,['poor']
Wallace Johnson,B,72,173,0.255,5,['good']
Mike Kinnunen,L,73,185,0.0,0,['poor']
Eddie Leon,R,72,170,0.23600000000000002,24,['average']
Dave Rajsich,L,77,175,0.0,0,['poor']
Jim Wohlford,R,71,175,0.26,21,['excellent']
J.R. Richard,R,80,222,0.168,10,['poor']
Bill Voss,L,74,160,0.22699999999999998,19,['average']
Keith Moreland,R,72,190,0.27899999999999997,121,['excellent']
Ramon Pena,R,70,155,0.0,0,['poor']
Alex Johnson,R,72,205,0.28800000000000003,78,['excellent']
Wayne Krenchicki,L,73,180,0.266,15,['excellent']
Chico Escarrega,R,71,185,0.0,0,['poor']
Dave Rosello,R,71,160,0.23600000000000002,10,['poor']
Cardell Camper,R,75,208,0.0,0,['poor']
Paul Schaal,R,71,165,0.244,57,['excellent']
Tito Landrum,R,71,175,0.249,13,['good']
Dave Edwards,R,72,170,0.237,14,['poor']
Mario Guerrero,R,70,155,0.257,7,['good']
Tom Tresh,B,73,180,0.245,153,['excellent']
Mike Overy,R,74,190,0.0,0,['poor']
Ron Roenicke,B,72,180,0.23800000000000002,17,['excellent']
Doug Griffin,R,72,160,0.245,7,['good']
Steve Blass,R,72,165,0.172,1,['poor']
Johnnie LeMaster,R,74,165,0.222,22,['average']
Craig Chamberlain,R,73,190,0.0,0,['poor']
Nate Oliver,R,70,160,0.226,2,['poor']
Ray Sadecki,L,71,180,0.191,5,['poor']
Ken Rudolph,R,73,180,0.213,6,['poor']
Wayne Nordhagen,R,74,205,0.282,39,['excellent']
Biff Pocoroba,B,70,175,0.257,21,['excellent']
Len Matuszek,L,74,190,0.23399999999999999,30,['average']
Frank Eufemia,R,71,185,0.0,0,['poor']
Joe Lefebvre,L,70,170,0.258,31,['excellent']
Jim Maloney,L,74,190,0.201,7,['poor']
Andre Robertson,R,70,155,0.251,5,['good']
Jerry Zimmerman,R,74,185,0.204,3,['poor']
Jack Lazorko,R,71,200,0.0,0,['poor']
Mike Paxton,R,71,190,0.0,0,['poor']
Chet Lemon,R,72,190,0.273,215,['excellent']
Rickey Keeton,R,74,190,0.0,0,['poor']
Phil Mankowski,L,72,180,0.264,8,['good']
Cleon Jones,R,72,185,0.281,93,['excellent']
Joaquin Andujar,B,72,170,0.127,5,['poor']
Mike Lum,L,72,180,0.247,90,['excellent']
Johnny Grubb,L,75,175,0.278,99,['excellent']
Curt Motton,R,68,164,0.213,25,['average']
Johnny Bench,R,73,197,0.267,389,['excellent']
Dale Berra,R,72,180,0.23600000000000002,49,['average']
Terry Felton,R,73,180,0.0,0,['poor']
Bob Meacham,B,73,175,0.23600000000000002,8,['poor']
Mark Clear,R,76,200,0.0,0,['poor']
Carl Warwick,R,70,170,0.248,31,['excellent']
Sam Bowens,R,73,188,0.223,45,['average']
George Wright,B,71,180,0.245,42,['excellent']
Luis Aguayo,R,69,173,0.23600000000000002,37,['average']
Hal Lanier,R,74,180,0.228,8,['poor']
Mike Pazik,L,74,195,0.0,0,['poor']
Len Randle,B,70,169,0.257,27,['excellent']
Greg Pryor,R,72,180,0.25,14,['good']
Jim Traber,L,72,194,0.22699999999999998,27,['average']
Dave Nelson,R,70,160,0.244,20,['excellent']
Lynn Jones,R,69,175,0.252,7,['good']
Bryan Little,B,70,160,0.245,3,['good']
Ken Suarez,R,69,175,0.22699999999999998,5,['poor']
Rick Peters,B,69,170,0.27699999999999997,2,['good']
Ron Stone,L,74,185,0.24100000000000002,6,['good']
Rich Barnes,R,76,186,0.0,0,['poor']
Tommie Agee,R,71,195,0.255,130,['excellent']
Bob Bailey,R,73,180,0.257,189,['excellent']
Cap Peterson,R,74,195,0.23,19,['average']
Ted Uhlaender,L,74,190,0.263,36,['excellent']
Ted Simmons,B,71,193,0.285,248,['excellent']
Bobby Murcer,L,71,160,0.27699999999999997,252,['excellent']
Dick Tracewski,R,71,160,0.213,8,['poor']
Dave Frost,R,78,235,0.0,0,['poor']
Mark Souza,L,72,180,0.0,0,['poor']
Bill Nahorodny,R,74,200,0.24100000000000002,25,['excellent']
Bill Madlock,R,71,180,0.305,163,['excellent']
Bob Boone,R,74,195,0.254,105,['excellent']
Rick Jones,L,77,190,0.0,0,['poor']
Steve Kemp,L,72,195,0.278,130,['excellent']
Rick Burleson,R,70,165,0.273,50,['excellent']
Jim Dorsey,R,79,190,0.0,0,['poor']
Mark Ciardi,R,72,180,0.0,0,['poor']
Dennis Burtt,R,72,180,0.0,0,['poor']
Carl Taylor,R,74,200,0.266,10,['good']
Terry Harmon,R,74,180,0.233,4,['poor']
Mike Hargrove,L,72,195,0.29,80,['excellent']
Rich Yett,R,74,187,0.0,0,['poor']
Steve Hovley,L,70,188,0.258,8,['good']
Don Leppert,R,74,220,0.22899999999999998,15,['average']
Matt Williams,R,73,200,0.0,0,['poor']
Jim Burton,R,75,195,0.0,0,['poor']
Rick Anderson,R,74,210,0.0,0,['poor']
Charlie Mitchell,R,75,170,0.0,0,['poor']
Bill Paschall,R,72,175,0.0,0,['poor']
John Bohnet,B,72,175,0.0,0,['poor']
Byron McLaughlin,R,73,175,0.0,0,['poor']
Lee May,R,75,195,0.267,354,['excellent']
Luis Quintana,L,74,175,0.0,0,['poor']
Sam McDowell,L,77,190,0.154,2,['poor']
Rick Renick,R,72,188,0.221,20,['average']
Jeff Torborg,R,72,195,0.214,8,['poor']
Dave Campbell,R,73,180,0.213,20,['average']
Pat Kelly,L,73,185,0.264,76,['excellent']
Al Weis,B,72,160,0.21899999999999997,7,['poor']
Jerry Turner,L,69,180,0.257,45,['excellent']
Rick Auerbach,R,72,165,0.22,9,['poor']
Keith Macwhorter,R,76,190,0.0,0,['poor']
Don Wilson,R,74,195,0.146,1,['poor']
Jaime Cocanower,R,76,200,0.0,0,['poor']
Jeff Sellers,R,73,175,0.0,0,['poor']
Sandy Valdespino,L,68,170,0.23,7,['poor']
Steve Senteney,R,74,205,0.0,0,['poor']
Howard Bailey,R,72,195,0.0,0,['poor']
Jeff Bettendorf,R,75,180,0.0,0,['poor']
Ken Phelps,L,73,209,0.239,123,['excellent']
Cesar Cedeno,R,74,175,0.285,199,['excellent']
Bob Davidson,R,72,185,0.0,0,['poor']
Phil Linz,R,73,180,0.235,11,['poor']
Manny Mota,R,70,160,0.304,31,['excellent']
Brian Snyder,L,75,185,0.0,0,['poor']
Steve Renko,R,77,230,0.215,6,['poor']
Rick Sofield,L,73,195,0.243,9,['good']
Carlos Velazquez,R,71,180,0.0,0,['poor']
Roger Miller,R,75,200,0.0,0,['poor']
Doug DeCinces,R,74,190,0.259,237,['excellent']
John Castino,R,71,175,0.278,41,['excellent']
Dave May,L,70,186,0.251,96,['excellent']
Ron Washington,R,71,155,0.261,20,['excellent']
Billy Grabarkewitz,R,70,165,0.23600000000000002,28,['average']
Willie Aikens,L,75,220,0.271,110,['excellent']
Earl Williams,R,75,215,0.247,138,['excellent']
Willie Mueller,R,76,220,0.0,0,['poor']
John Flinn,R,72,175,0.0,0,['poor']
Don Hahn,R,73,180,0.23600000000000002,7,['poor']
Todd Cruz,R,72,175,0.22,34,['average']
Tom Egan,R,76,218,0.2,22,['average']
Bob Heise,R,72,175,0.247,1,['good']
Tommy Harper,R,69,165,0.257,146,['excellent']
Joe Wallis,B,71,180,0.244,16,['excellent']
Max Alvis,R,71,185,0.247,111,['excellent']
Rico Carty,R,75,200,0.299,204,['excellent']
Mike Cubbage,L,72,180,0.258,34,['excellent']
Les Straker,R,73,193,0.0,0,['poor']
Merritt Ranew,L,71,170,0.247,8,['good']
Lyman Bostock,L,73,180,0.311,23,['excellent']
Damaso Garcia,R,73,165,0.28300000000000003,36,['excellent']
Don Kainer,R,75,205,0.0,0,['poor']
Don Gordon,R,73,175,0.0,0,['poor']
Roy Howell,L,73,190,0.261,80,['excellent']
Boog Powell,L,76,230,0.266,339,['excellent']
Sandy Wihtol,R,73,195,0.0,0,['poor']
Sonny Siebert,R,75,190,0.17300000000000001,12,['poor']
Jeff Richardson,R,75,185,0.0,0,['poor']
Bobby Darwin,R,74,190,0.251,83,['excellent']
Dennis DeBarr,L,74,190,0.0,0,['poor']
Dan Driessen,L,71,187,0.267,153,['excellent']
Bruce Miller,R,73,185,0.24600000000000002,1,['good']
Bob Bailor,R,71,170,0.264,9,['good']
Tommy Helms,R,70,165,0.26899999999999996,34,['excellent']
Tony Armas,R,71,182,0.252,251,['excellent']
Willie Horton,R,71,209,0.273,325,['excellent']
Lou Piniella,R,72,182,0.29100000000000004,102,['excellent']
Butch Hobson,R,73,193,0.248,98,['excellent']
John Wathan,R,74,205,0.262,21,['excellent']
Hal King,L,73,200,0.214,24,['average']
Mike Krukow,R,77,205,0.193,5,['poor']
Andres Mora,R,72,180,0.223,27,['average']
Barry Foote,R,75,205,0.23,57,['average']
Ed Ott,L,70,190,0.259,33,['excellent']
Alan Wiggins,B,74,160,0.259,5,['good']
Ron Clark,R,70,175,0.18899999999999997,5,['poor']
Jay Pettibone,R,76,182,0.0,0,['poor']
Glen Cook,R,71,180,0.0,0,['poor']
Julio Gotay,R,72,180,0.26,6,['good']
Gary Alexander,R,74,195,0.23,55,['average']
Andre Thornton,R,75,200,0.254,253,['excellent']
Bob Oliver,R,75,205,0.256,94,['excellent']
Bill Castro,R,71,170,0.0,0,['poor']
Ed Hodge,L,74,192,0.0,0,['poor']
Tom Buskey,R,75,200,0.0,0,['poor']
Bruce Taylor,R,72,178,0.0,0,['poor']
Stan Thomas,R,74,185,0.0,0,['poor']
Bob Robertson,R,73,195,0.242,115,['excellent']
Larry Monroe,R,76,200,0.0,0,['poor']
Roger Slagle,R,75,190,0.0,0,['poor']
Ollie Brown,R,74,178,0.265,102,['excellent']
Jim Campbell,L,71,175,0.0,0,['poor']
Frank Quilici,R,73,170,0.214,5,['poor']
Curt Kaufman,R,74,175,0.0,0,['poor']
Joe Pepitone,L,74,185,0.258,219,['excellent']
Steve Barber,L,72,195,0.115,5,['poor']
De Wayne Vaughn,R,71,180,0.0,0,['poor']
Norm Miller,L,70,185,0.23800000000000002,24,['excellent']
Bob Galasso,L,73,205,0.0,0,['poor']
Rich Wortham,R,72,185,0.0,0,['poor']
Bob Chance,L,74,196,0.261,24,['excellent']
Julio Cruz,B,69,165,0.237,23,['average']
Bill Sample,R,69,175,0.272,46,['excellent']
Juan Nieves,L,75,175,0.0,0,['poor']
Mike Bacsik,R,74,180,0.0,0,['poor']
Craig Kusick,R,75,210,0.235,46,['average']
Rudy Meoli,L,69,165,0.212,2,['poor']
Ruppert Jones,L,70,170,0.25,147,['excellent']
Glenn Hoffman,R,73,175,0.242,23,['excellent']
Russ Gibson,R,73,195,0.228,8,['poor']
Phil Huffman,R,74,180,0.0,0,['poor']
Terry Francona,L,73,190,0.27399999999999997,16,['excellent']
John Bateman,R,75,210,0.23,81,['average']
Luis Pujols,R,74,175,0.193,6,['poor']
Joe Gaines,R,73,190,0.24100000000000002,21,['excellent']
Doug Rader,R,74,208,0.251,155,['excellent']
Mickey Stanley,R,73,185,0.248,117,['excellent']
Steve Brown,R,77,200,0.0,0,['poor']
Rick Lysander,R,74,190,0.0,0,['poor']
Phil Bradley,R,72,185,0.28600000000000003,78,['excellent']
Winston Llenas,R,70,165,0.23,3,['poor']
Charlie Moore,R,71,180,0.261,36,['excellent']
Ralph Garr,L,71,185,0.306,75,['excellent']
Tommy John,R,75,180,0.157,5,['poor']
Bruce Benedict,R,73,175,0.242,18,['excellent']
John Ellis,R,74,225,0.262,69,['excellent']
Wes Parker,B,73,180,0.267,64,['excellent']
Mel Stottlemyre,R,72,190,0.0,0,['poor']
David Green,R,75,170,0.268,31,['excellent']
Reid Nichols,R,71,165,0.266,22,['excellent']
Rick Reichardt,R,75,210,0.261,116,['excellent']
Luis Tiant,R,72,180,0.16399999999999998,5,['poor']
Alex Sanchez,R,74,185,0.0,0,['poor']
Broderick Perkins,L,70,180,0.271,8,['good']
Leon Roberts,R,75,200,0.267,78,['excellent']
Ray Burris,R,77,200,0.151,1,['poor']
Len Gabrielson,L,76,210,0.253,37,['excellent']
Johnny Edwards,L,76,220,0.242,81,['excellent']
Paul Wilmet,R,71,170,0.0,0,['poor']
Tom Grieve,R,74,190,0.249,65,['excellent']
Bruce Ellingsen,L,72,180,0.0,0,['poor']
Bob Forsch,R,76,200,0.213,12,['poor']
Gorman Heimueller,L,76,195,0.0,0,['poor']
Danny Cater,R,72,170,0.276,66,['excellent']
Bill Schroeder,R,74,200,0.24,61,['excellent']
Clay Dalrymple,L,72,190,0.233,55,['average']
Carlos May,L,71,200,0.27399999999999997,90,['excellent']
Reggie Smith,B,72,180,0.287,314,['excellent']
Ron Reed,R,78,215,0.158,0,['poor']
Fred Howard,R,75,190,0.0,0,['poor']
Davey Johnson,R,73,170,0.261,136,['excellent']
Ellis Valentine,R,76,205,0.278,123,['excellent']
Roy White,B,70,160,0.271,160,['excellent']
Mike Brumley,L,70,195,0.22899999999999998,5,['poor']
Al Luplow,L,70,175,0.235,33,['average']
John Hoover,R,74,190,0.0,0,['poor']
Dick Allen,R,71,187,0.292,351,['excellent']
Doug Ault,R,75,200,0.23600000000000002,17,['average']
Mark Wagner,R,72,165,0.243,3,['good']
Mike Walters,R,77,203,0.0,0,['poor']
Willie Stargell,L,74,188,0.282,475,['excellent']
Steve Carlton,L,76,210,0.201,13,['poor']
Jake Wood,R,73,163,0.25,35,['excellent']
Del Unser,L,73,180,0.258,87,['excellent']
Bob Brower,R,71,185,0.242,17,['excellent']
Ray Culp,R,72,200,0.12300000000000001,1,['poor']
Ivan Murrell,R,74,195,0.23600000000000002,33,['average']
Lee Mazzilli,B,73,180,0.259,93,['excellent']
Garth Iorg,R,71,170,0.258,20,['excellent']
Alan Ashby,B,74,185,0.245,90,['excellent']
Bob Brenly,R,74,210,0.247,91,['excellent']
Ron Blomberg,L,73,195,0.293,52,['excellent']
Jim Rooker,R,72,195,0.201,7,['poor']
Tim Blackwell,B,71,170,0.228,6,['poor']
Colby Ward,R,74,185,0.0,0,['poor']
Jerry Morales,R,70,155,0.259,95,['excellent']
Davey Lopes,R,69,170,0.263,155,['excellent']
Catfish Hunter,R,72,190,0.226,6,['poor']
Mario Soto,R,72,174,0.132,1,['poor']
Jimmy Wynn,R,70,160,0.25,291,['excellent']
Hank Allen,R,72,190,0.24100000000000002,6,['good']
Jim Fregosi,R,73,190,0.265,151,['excellent']
Pepe Frias,R,70,159,0.24,1,['good']
Mike Schmidt,R,74,195,0.267,548,['excellent']
Willie Montanez,L,72,170,0.275,139,['excellent']
Rey Quinones,R,71,160,0.243,29,['excellent']
Mike Squires,L,71,185,0.26,6,['good']
Champ Summers,L,74,205,0.255,54,['excellent']
Chuck Porter,R,75,187,0.0,0,['poor']
Bert Campaneris,R,70,160,0.259,79,['excellent']
Bobby Valentine,R,70,189,0.26,12,['good']
Rob Andrews,R,72,185,0.251,3,['good']
Tom Haller,L,76,195,0.257,134,['excellent']
Tom Dozier,R,74,190,0.0,0,['poor']
Ed Stroud,L,71,180,0.237,14,['poor']
Ron Swoboda,R,74,195,0.242,73,['excellent']
Harry Spilman,L,73,180,0.237,18,['average']
Bob Barton,R,72,175,0.226,9,['poor']
Daryl Sconiers,L,74,185,0.265,15,['excellent']
Joe Torre,R,74,212,0.297,252,['excellent']
Al Ferrara,R,73,200,0.259,51,['excellent']
Rick Steirer,R,76,200,0.0,0,['poor']
Sixto Lezcano,R,70,165,0.271,148,['excellent']
Al Lachowicz,R,75,198,0.0,0,['poor']
Dave Nicholson,R,74,215,0.212,61,['average']
Freddie Patek,R,65,148,0.242,41,['excellent']
Ken Hubbs,R,74,175,0.247,14,['good']
Pepe Mangual,R,70,157,0.242,16,['excellent']
Leron Lee,L,72,196,0.25,31,['excellent']
Tom McCarthy,R,72,180,0.0,0,['poor']
Steve Ontiveros,B,72,185,0.27399999999999997,24,['excellent']
Willie Davis,L,74,180,0.27899999999999997,182,['excellent']
Tom Lawless,R,71,170,0.207,2,['poor']
Jerry Moses,R,75,210,0.251,25,['excellent']
Bobby Bonds,R,73,190,0.268,332,['excellent']
Dave McNally,R,71,185,0.133,9,['poor']
Darrell Brown,B,72,184,0.27399999999999997,1,['good']
Roy Foster,R,72,185,0.253,45,['excellent']
Denis Menke,R,72,185,0.25,101,['excellent']
Hal Breeden,R,74,200,0.243,21,['excellent']
Manny Trillo,R,73,150,0.263,61,['excellent']
Jackie Gutierrez,R,71,175,0.237,4,['poor']
Jerry Kenney,L,73,170,0.237,7,['poor']
Fred Kendall,R,73,185,0.23399999999999999,31,['average']
Mike Anderson,R,74,200,0.24600000000000002,28,['excellent']
Jim Lewis,R,75,190,0.0,0,['poor']
Joe Charboneau,R,74,205,0.266,29,['excellent']
Jimmie Schaffer,R,69,170,0.223,11,['poor']
Junior Kennedy,R,71,175,0.248,4,['good']
Wilbur Howard,B,74,170,0.25,6,['good']
Rod Gilbreath,R,74,180,0.248,14,['good']
Mark Brouhard,R,73,210,0.259,25,['excellent']
Dan Morogiello,L,73,200,0.0,0,['poor']
Mike Young,B,74,195,0.247,72,['excellent']
Chris Speier,R,73,175,0.24600000000000002,112,['excellent']
Gene Michael,B,74,183,0.22899999999999998,15,['average']
Vic Harris,B,71,165,0.217,13,['poor']
Mike Fischlin,R,73,165,0.22,3,['poor']
Don Money,R,73,170,0.261,176,['excellent']
Joe Rudi,R,74,200,0.264,179,['excellent']
Jim Rice,R,74,200,0.298,382,['excellent']
Shawn Holman,R,74,185,0.0,0,['poor']
Alan Wirth,R,76,190,0.0,0,['poor']
Gil Garrido,R,69,150,0.237,1,['poor']
Marty Perez,R,71,160,0.24600000000000002,22,['excellent']
Tom Matchick,L,73,173,0.215,4,['poor']
Jack Perconte,L,70,160,0.27,2,['good']
Ed Kirkpatrick,L,71,195,0.23800000000000002,85,['excellent']
Jerry Grote,R,70,185,0.252,39,['excellent']
Ellie Hendricks,L,73,175,0.22,62,['average']
Jim Beauchamp,R,74,190,0.231,14,['poor']
Terry Wilshusen,R,74,210,0.0,0,['poor']
Tito Fuentes,B,71,175,0.268,45,['excellent']
Ron Brand,R,67,167,0.239,3,['good']
Leo Cardenas,R,71,150,0.257,118,['excellent']
